year,make,model,color,body,oem,mileage,purchase_date,purchased_from,floorplan,vin,total_cost,expenses,sale_price,ttl,total_price,profit,sale_date,time_on_lot
2006,BMW,330i,Black,Sedan,Foreign,114135,2017/04/04,American,R and D,WBAVB335X6PS17352,5804,1529,6820,712,7532,1111,2017/12/02,242
2008,BMW,328i,Silver,Sedan,Foreign,129932,2017/01/10,Metro,Auction Credit,WBAVA33518P141977,5821,471,7072,728,7800,1346,2017/03/22,71
2007,BMW,328i,Black,Sedan,Foreign,133046,2016/12/29,American,R and D,WBAVA33597KX81902,4796,1361,6000,658,6658,1299,2017/05/10,132
2006,BMW,X5,White,SUV,Foreign,134540,2016/06/25,Copart,R and D,5UXFA13556LY35649,4924,1836,5290,611,5901,461,2017/02/23,243
2009,Chevy,HHR,Red,Hatchback,Domestic,93644,2016/12/29,American,Auction Credit,3GNCA23B79S646006,3545,310,4890,585,5475,1440,2017/02/15,48
2006,Chevy,HHR,Tan,Hatchback,Domestic,102119,2016/12/29,American,Auction Credit,3GNDA23P86S673226,3466,541,3975,525,4500,604,2017/04/24,116
2007,Chevy,Aveo,Red,Sedan,Domestic,48376,2017/04/04,Metro,AFC,KL1TD66667B754137,3354,254,4538,562,5100,1279,2017/04/17,13
2012,Chevy,Malibu,White,Sedan,Domestic,54980,2017/08/22,American,Auction Credit,1G1ZD5E09CF379771,4647,282,6790,710,7500,2238,2017/09/04,13
2011,Chevy,Aveo,Gray,Sedan,Domestic,78539,2016/03/15,Metro,R and D,KL1TD5DE5BB236565,5454,2464,4990,592,5582,-369,2017/09/25,559
2011,Chevy,Aveo,Brown,Sedan,Domestic,92582,2016/10/05,Metro,Auction Credit,KL1TD5DE8BB212535,4098,378,4490,559,5049,487,2017/01/16,103
2012,Chevy,Impala,Silver,Sedan,Domestic,111728,2016/07/28,American,R and D,2G1WG5E39C1124937,4208,1083,4990,592,5582,877,2017/07/31,368
2008,Chrysler,PT Cruiser,Black,Hatchback,Domestic,108930,2016/11/08,Adesa,Auction Credit,3A8FY48B98T141365,2218,748,3130,470,3600,1007,2017/02/23,107
2009,Chrysler,PT Cruiser,Red,Hatchback,Domestic,121563,2017/03/07,American,R and D,3A8FY48999T532871,2488,913,3600,501,4101,1207,2017/07/14,129
2009,Chrysler ,PT Cruiser,Silver,Hatchback,Domestic,63674,2017/03/07,American,Auction Credit,3C4FY58B95T639137,2467,717,3130,470,3600,758,2017/05/05,59
2007,Chrysler ,PT Cruiser,White,Hatchback,Domestic,122350,2017/09/12,American,Auction Credit,3A8FY58B67T558009,1782,207,2800,448,3248,1113,2017/11/18,67
2009,Dodge,Caliber,White,Hatchback,Domestic,101347,2017/01/10,Metro,Auction Credit,1B3HB78B79D225132,4564,462,4590,566,5156,121,2017/05/19,129
2007,Dodge,Caliber,Silver,Hatchback,Domestic,105228,2016/12/20,American,Auction Credit,1B3HB48B47D313907,4560,815,4000,527,4527,-465,2017/04/24,125
2011,Dodge,Caliber,Blue,Hatchback,Domestic,113007,2017/05/31,Adesa,R and D,1B3CB5HA8BD108834,4142,1162,4590,566,5156,543,2017/12/27,210
